CreditScore,Geography,Gender,Age,Tenure,Balance,NumProducts,HasCreditCard,IsActiveMember,EstimatedSalary,churn_prob,actual_churn,decile
669,France,Male,50,4,149713.61,3,1,1,124872.42,0.9934651206922243,1,D10
610,Spain,Female,50,5,130554.51,3,1,0,184758.17,0.9928662130023929,1,D10
771,Spain,Male,51,5,135506.58,3,1,1,152479.64,0.9928526826673596,1,D10
747,Germany,Male,37,9,135776.36,3,1,0,85470.45,0.9911731422019283,1,D10
850,Germany,Male,43,0,108508.82,3,1,0,184044.8,0.9909573820166903,1,D10
564,Germany,Female,44,3,111760.4,3,1,1,104722.47,0.9909137340560876,1,D10
555,France,Female,44,3,105770.7,3,1,0,60533.96,0.9903633458439344,1,D10
629,Germany,Female,45,7,129818.39,3,1,0,9217.55,0.9889104787943261,1,D10
586,France,Female,35,7,164769.02,3,1,0,119814.25,0.9887290624032836,1,D10
714,France,Female,51,4,88308.87,3,0,0,5862.53,0.988660138113961,1,D10
579,Germany,Female,39,5,117833.3,3,0,0,5831.0,0.988564633903293,1,D10
650,Spain,Male,41,3,128808.65,3,0,0,113677.53,0.9882687547657253,1,D10
765,France,Female,56,1,0.0,1,1,0,13228.93,0.9877344224111043,1,D10
622,Germany,Female,58,7,116922.25,1,1,0,120415.61,0.9877116347143159,1,D10
758,France,Female,50,2,95813.76,3,1,1,67944.09,0.9873986705440339,1,D10
438,Germany,Male,59,7,127197.14,1,1,0,51565.98,0.9866565530986846,1,D10
794,Germany,Male,57,3,117056.46,1,1,0,93336.93,0.9862144622248726,1,D10
626,Spain,Female,26,8,148610.41,3,0,1,104502.02,0.985605768624793,1,D10
566,Germany,Male,65,4,120100.41,1,1,0,107563.16,0.9853575033598949,1,D10
736,Germany,Male,57,9,95295.39,1,1,0,28434.44,0.9842654778232308,1,D10
727,Germany,Male,59,5,152581.06,1,1,0,71830.1,0.9834318358992479,1,D10
664,Spain,Female,53,7,187602.18,1,1,0,186392.99,0.9834250458328251,1,D10
718,France,Male,52,8,79475.3,3,1,1,32421.32,0.9830515715874296,1,D10
620,France,Male,61,5,0.0,1,0,0,31641.52,0.9826051855254008,1,D10
749,France,Female,60,6,0.0,1,1,0,17978.68,0.9824073196002316,1,D10
738,Germany,Female,57,9,148384.64,1,0,0,155047.11,0.9819746578964804,1,D10
686,Spain,Male,45,3,74274.87,3,1,0,64907.48,0.9811515169718323,1,D10
739,Germany,Male,40,5,149131.03,3,1,1,60036.99,0.9811350944427508,1,D10
576,France,Female,55,6,44582.07,3,0,1,67539.85,0.9799231552874301,1,D10
644,Germany,Male,35,5,161591.11,3,1,1,63795.62,0.979288948414694,0,D10
708,France,Female,59,2,0.0,1,1,0,179673.11,0.9782499724032174,1,D10
651,France,Male,56,2,0.0,1,1,0,114522.68,0.9778429504184942,1,D10
569,Spain,Female,51,3,0.0,3,1,0,75084.96,0.9770889680245533,1,D10
556,France,Female,43,6,0.0,3,0,0,125154.57,0.9761035948225953,1,D10
487,Germany,Female,61,5,110368.03,1,0,0,11384.45,0.9760996153707455,1,D10
762,Germany,Male,56,10,100260.88,3,1,1,77142.42,0.9751082036887008,1,D10
399,Germany,Male,46,2,127655.22,1,1,0,139994.68,0.9740958816359083,1,D10
505,Spain,Female,45,9,131355.3,3,1,0,195395.33,0.973457551987878,1,D10
621,Germany,Male,51,4,109978.83,1,0,0,177740.58,0.9730116389936981,1,D10
705,Germany,Female,56,2,143249.67,1,1,0,88428.41,0.9718163324499789,1,D10
556,France,Female,51,8,61354.14,1,1,0,198810.65,0.9711598520152042,1,D10
587,France,Male,55,9,0.0,1,1,0,64593.07,0.9704477208419803,0,D10
496,Germany,Female,59,7,91680.1,2,1,0,163141.18,0.9700064957625598,1,D10
585,Spain,Female,56,1,128472.8,1,1,0,186476.91,0.9690591820990497,1,D10
542,France,Female,59,2,68892.77,2,1,0,7905.06,0.9668491892744415,1,D10
651,France,Male,44,2,0.0,3,1,0,102530.35,0.9661984677803807,1,D10
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,0.965212638440065,1,D10
635,Germany,Female,65,5,117325.54,1,1,0,155799.86,0.9651746572849045,1,D10
576,Germany,Male,63,3,148843.56,1,1,0,69414.13,0.9646235368892335,1,D10
795,Spain,Female,56,5,0.0,1,1,0,35418.69,0.9643144499551449,1,D10
468,France,Female,56,10,0.0,3,0,1,62256.87,0.9631928856008188,1,D10
793,Germany,Male,54,2,128966.13,1,0,0,18633.4,0.9624542891947039,1,D10
789,Germany,Male,51,3,104677.09,1,1,0,74265.38,0.961512941806499,0,D10
531,France,Female,47,6,0.0,1,0,0,194998.34,0.9609841005768308,1,D10
443,Germany,Male,50,3,117206.3,1,1,0,42840.18,0.9608501062652139,1,D10
739,Germany,Male,54,8,126418.14,1,1,0,134420.75,0.9606745030291876,1,D10
713,Germany,Male,47,1,95994.98,1,1,0,197529.23,0.9606588991771848,0,D10
517,Germany,Male,53,0,109172.88,1,1,0,54676.1,0.9600166312364753,1,D10
670,Germany,Male,40,2,164948.98,3,0,0,177028.0,0.9592068338829366,1,D10
688,France,Female,51,5,0.0,1,1,0,91624.11,0.9586859392114804,1,D10
638,Germany,Female,53,1,123916.67,1,1,0,16657.68,0.9555511113771605,1,D10
623,Germany,Female,48,1,108076.33,1,1,0,118855.26,0.9553190752559004,1,D10
617,Germany,Female,58,3,119024.75,2,1,0,35199.24,0.9552655846651045,1,D10
770,France,Female,68,2,183555.24,1,0,0,159557.28,0.9538820663838831,1,D10
669,Germany,Female,50,4,112650.89,1,0,0,166386.22,0.9535533117881029,1,D10
598,France,Female,43,5,0.0,3,1,1,100722.72,0.9533333654371168,1,D10
543,France,Male,42,4,89838.71,3,1,0,85983.54,0.9529886823819622,1,D10
850,France,Female,55,10,98488.08,1,1,0,155879.57,0.9527260990694241,1,D10
738,Spain,Male,49,3,0.0,3,1,1,65066.48,0.9519438359296224,1,D10
680,Germany,Female,48,8,115115.38,1,1,0,139558.6,0.9488090163955041,1,D10
612,Spain,Female,63,2,131629.17,2,1,0,122109.58,0.9482041017131249,1,D10
551,France,Male,52,1,0.0,1,0,0,63584.55,0.9481786115623257,1,D10
714,Germany,Female,49,5,140510.89,1,1,0,141914.94,0.9466814959325004,0,D10
720,Germany,Male,60,9,115920.62,2,0,0,157552.08,0.946338529247474,1,D10
691,France,Male,52,3,0.0,1,1,0,175843.68,0.9451455842535003,1,D10
813,Germany,Male,59,2,135078.41,1,1,0,187636.06,0.9441847984602408,1,D10
439,France,Female,66,9,0.0,1,1,0,65535.56,0.9441521521320834,0,D10
545,France,Female,55,5,0.0,1,0,0,10034.77,0.9437041837081007,1,D10
817,France,Female,55,10,117561.49,1,1,0,95941.55,0.9432873766508647,1,D10
561,Germany,Female,49,1,102025.32,1,1,0,133051.64,0.94258999568609,1,D10
559,France,Male,52,2,0.0,1,1,0,129013.59,0.9424957329874045,1,D10
695,Germany,Female,53,8,95231.91,1,0,0,70140.8,0.9422418155968215,1,D10
616,France,Female,66,1,135842.41,1,1,0,183840.51,0.9420860507208493,1,D10
758,Germany,Male,68,6,112595.85,1,1,0,35865.44,0.9412454111778604,1,D10
516,Germany,Female,47,9,128298.74,1,0,0,149614.17,0.9381542684604435,1,D10
601,Germany,Female,48,8,120782.7,1,1,0,63940.68,0.9376421856616836,1,D10
762,Spain,Female,35,3,119349.69,3,1,1,47114.18,0.9375307863956758,1,D10
521,Germany,Female,49,2,127948.57,1,1,1,182765.14,0.9373286999394509,0,D10
850,Germany,Female,47,10,134381.52,1,0,0,26812.89,0.9355793152587243,1,D10
577,Germany,Female,59,7,111396.97,1,0,1,191070.01,0.935206638509441,0,D10
707,Spain,Female,52,7,0.0,1,1,0,109688.82,0.9349433814229009,1,D10
849,Germany,Female,49,9,132934.89,1,1,0,171056.65,0.9332313510055692,1,D10
550,Germany,Female,45,8,111257.59,1,0,0,97623.42,0.9332241167392179,1,D10
649,France,Female,52,8,49113.75,1,1,0,41858.43,0.9328795600107713,0,D10
625,Germany,Female,49,4,128504.76,1,1,0,126812.63,0.9310435895147383,1,D10
642,Germany,Female,56,6,103244.86,2,1,0,143049.72,0.9305551415957743,1,D10
547,Spain,Female,44,5,0.0,3,0,0,5459.07,0.9278306194820963,1,D10
745,Germany,Female,44,0,119638.21,1,1,1,34265.08,0.926260604717055,1,D10
754,France,Female,47,1,185513.67,1,1,0,27438.83,0.9257806056665661,0,D10
637,Germany,Female,46,2,143500.82,1,1,0,166996.46,0.9255029725986395,1,D10
537,Germany,Female,47,6,103163.35,1,1,0,16259.64,0.9254877871032905,1,D10
594,France,Female,53,4,0.0,1,1,0,5408.74,0.9250977948721756,1,D10
659,France,Female,50,3,0.0,1,1,0,183399.12,0.9235871036368093,1,D10
517,Germany,Female,59,8,154110.99,2,1,0,101240.08,0.9211351705170219,1,D10
517,France,Male,56,9,142147.32,1,0,0,39488.04,0.9197213911569899,1,D10
499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0.918558421597057,0,D10
579,Spain,Male,56,4,99340.83,1,0,0,4523.74,0.917440296912851,1,D10
525,Germany,Female,47,1,118087.68,1,1,0,88120.78,0.9171146428897993,1,D10
714,Germany,Female,49,4,93059.34,1,1,0,7571.51,0.9170967158925379,1,D10
686,Germany,Female,38,2,93569.86,3,0,0,10137.34,0.9167651431595094,1,D10
720,Spain,Male,64,3,45752.78,2,1,0,79623.28,0.9163195931424152,1,D10
757,Germany,Male,31,1,127320.36,3,1,0,163170.32,0.9161714072797655,0,D10
603,France,Male,51,8,186825.57,1,1,0,93739.71,0.9158793192764607,1,D10
705,Germany,Female,44,10,106731.58,1,1,0,137419.87,0.9156796652741919,1,D10
524,France,Male,52,2,87894.26,1,1,0,173899.42,0.9147387767123225,1,D10
836,Spain,Male,57,4,101247.06,1,1,0,37141.62,0.9146348721431083,1,D10
646,France,Male,52,8,59669.43,1,0,0,172495.81,0.9145429217114962,1,D10
799,France,Female,63,1,110314.21,2,1,0,37464.0,0.9138202171617716,1,D10
567,France,Male,54,9,96402.96,1,0,0,52035.29,0.9137364123987773,1,D10
587,Germany,Male,46,9,107850.82,1,1,0,139431.0,0.9135766631388023,1,D10
850,Germany,Male,51,4,124425.99,1,0,0,118545.49,0.9130641470737076,1,D10
626,Germany,Female,47,2,103108.8,1,0,1,166475.44,0.91244482834893,1,D10
793,Spain,Male,52,2,0.0,1,1,0,159123.82,0.9121190541189745,1,D10
651,Germany,Female,35,1,163700.78,3,1,1,29583.48,0.9114184062749117,1,D10
518,Germany,Male,46,4,113625.93,1,0,0,92727.42,0.9107076005627456,1,D10
608,France,Male,50,6,0.0,1,1,0,93568.77,0.910197472787151,1,D10
644,Spain,Female,46,6,12459.19,1,0,0,156787.34,0.9086841386260606,1,D10
788,Germany,Female,49,4,137455.99,1,1,0,184178.29,0.9083365572094823,1,D10
459,Germany,Male,46,7,110356.42,1,1,0,4969.13,0.9062073331924159,1,D10
591,Spain,Female,39,3,0.0,3,1,0,140469.38,0.9058281893228783,1,D10
699,Germany,Female,54,3,111009.32,1,1,1,155905.79,0.905499006412921,1,D10
712,France,Male,36,2,100749.5,3,0,0,70758.37,0.904694350082786,1,D10
768,Germany,Male,49,1,133384.66,1,1,0,102397.22,0.9046333011286333,1,D10
748,Germany,Male,45,2,119852.01,1,0,0,73853.94,0.9039379668253297,1,D10
766,Germany,Male,47,9,129289.98,1,1,0,169935.46,0.9021522747201438,1,D10
549,Germany,Male,41,9,95020.8,3,1,1,131710.59,0.9014919975176509,1,D10
535,France,Female,49,3,0.0,1,0,0,61820.41,0.9010628940110292,1,D10
655,Germany,Female,46,7,137145.12,1,1,0,115146.4,0.9004124447389028,1,D10
743,Germany,Male,59,5,108585.35,1,1,1,192127.22,0.8999496075245546,1,D10
672,France,Male,52,8,170008.84,1,0,0,56407.42,0.899644749470897,1,D10
656,Germany,Female,49,9,97092.87,1,1,0,74771.22,0.8992110403656643,1,D10
432,Germany,Female,45,3,110219.14,1,1,0,43046.7,0.8985508630080177,1,D10
711,Germany,Female,52,8,145262.54,1,0,1,131473.31,0.8974895396026444,0,D10
584,France,Female,66,5,0.0,1,1,0,49553.38,0.8972557686639615,1,D10
621,Germany,Male,46,6,141078.37,1,0,0,34580.8,0.8959744554166755,1,D10
635,France,Male,33,1,0.0,3,0,0,178067.33,0.8959110357150666,1,D10
603,France,Female,48,5,0.0,1,1,0,100478.6,0.8951466662609253,1,D10
604,Germany,Female,47,4,118907.6,1,0,1,47777.15,0.8949937401993385,1,D10
721,Spain,Male,51,0,169312.13,1,1,0,109078.35,0.8943186279021753,1,D10
722,France,Female,49,3,168197.66,1,1,0,140765.57,0.8936904086711003,1,D10
850,Germany,Female,45,5,127258.79,1,1,1,192744.23,0.8933144718764724,1,D10
526,Spain,Male,49,2,0.0,1,1,0,114539.67,0.8925849440492275,1,D10
774,France,Female,52,2,56580.93,1,1,0,113266.28,0.8924801358019198,1,D10
642,Germany,Male,49,4,120688.61,1,1,0,24770.22,0.89138867846903,1,D10
850,Spain,Female,53,7,65407.16,2,0,0,182633.63,0.8907106202359303,1,D10
411,France,Female,36,10,0.0,1,0,0,120694.35,0.8901154236271015,0,D10
536,Spain,Male,53,2,143923.96,1,1,0,2019.78,0.8898372840663371,1,D10
737,Germany,Female,43,1,125537.38,1,1,0,138510.01,0.8890739237273687,1,D10
798,Germany,Female,49,5,132571.67,1,1,1,31686.33,0.8872136354246167,1,D10
718,France,Female,49,10,0.0,1,1,0,184474.72,0.8870838026372753,1,D10
650,Spain,Male,42,4,194532.66,1,1,0,171045.31,0.8848141425083381,1,D10
430,Germany,Male,49,3,137115.16,1,1,0,146516.86,0.8826608155249517,1,D10
584,Germany,Male,47,7,130538.77,1,1,0,92915.84,0.8824689232115743,0,D10
634,Germany,Female,46,5,123642.36,1,1,1,49725.16,0.8809032320909267,1,D10
527,France,Male,47,1,0.0,1,1,0,21312.16,0.8807535422156069,1,D10
760,France,Female,51,2,100946.71,1,0,0,179614.8,0.8800045598006901,1,D10
706,Germany,Female,46,4,105214.58,1,1,0,108699.59,0.8773804586442753,1,D10
742,Germany,Female,44,8,107926.02,1,0,1,17375.27,0.8772890243532485,1,D10
587,Germany,Female,37,6,104414.03,1,1,0,192026.02,0.8756883541183661,0,D10
659,France,Female,49,1,0.0,1,1,0,116249.72,0.8754389008853785,1,D10
746,France,Male,48,5,165282.42,1,1,0,153786.46,0.8752768151491676,1,D10
544,Germany,Male,44,2,108895.93,1,0,0,69228.2,0.8748179318479762,1,D10
